Path (w/ version number), Path,  Groups,  Counts,  Rates (Hz)
HLT_PFJet260_v19, HLT_PFJet260_v,  SMP EXO , 29, 1492.92
HLT_IsoMu30_v3, HLT_IsoMu30_v,  MUO , 28, 1441.44
HLT_DoubleMu4_Jpsi_NoVertexing_v6, HLT_DoubleMu4_Jpsi_NoVertexing_v,  BPH , 25, 1287.0
HLT_Ele35_WPTight_Gsf_v8, HLT_Ele35_WPTight_Gsf_v,  EGM SUS SMP EXO TOP B2G HIG , 24, 1235.52
HLT_Ele35_WPTight_Gsf_L1EGMT_v4, HLT_Ele35_WPTight_Gsf_L1EGMT_v,  ECAL , 22, 1132.56
HLT_CaloMHT90_v4, HLT_CaloMHT90_v,  JME , 21, 1081.08
HLT_Dimuon0_Upsilon_NoVertexing_v6, HLT_Dimuon0_Upsilon_NoVertexing_v,  BPH , 20, 1029.6
HLT_Photon90_v13, HLT_Photon90_v,  SMP EXO , 18, 926.64
HLT_CaloMET70_HBHECleaned_v4, HLT_CaloMET70_HBHECleaned_v,  JME , 18, 926.64
HLT_Photon60_R9Id90_CaloIdL_IsoL_v5, HLT_Photon60_R9Id90_CaloIdL_IsoL_v,  EXO , 18, 926.64
HLT_Ele38_WPTight_Gsf_v8, HLT_Ele38_WPTight_Gsf_v,  EGM SUS SMP EXO TOP B2G HIG , 18, 926.64
HLT_CaloMET80_NotCleaned_v4, HLT_CaloMET80_NotCleaned_v,  JME , 18, 926.64
HLT_PFHT590_v16, HLT_PFHT590_v,  SUS , 18, 926.64
HLT_Ele40_WPTight_Gsf_v8, HLT_Ele40_WPTight_Gsf_v,  EGM SUS SMP EXO TOP HIG , 17, 875.16
HLT_Dimuon0_Upsilon_L1_5M_v7, HLT_Dimuon0_Upsilon_L1_5M_v,  BPH , 15, 772.2
HLT_CaloMET80_HBHECleaned_v4, HLT_CaloMET80_HBHECleaned_v,  JME , 15, 772.2
HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v6, HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v,  BPH , 15, 772.2
HLT_CaloMET90_NotCleaned_v4, HLT_CaloMET90_NotCleaned_v,  JME , 15, 772.2
HLT_DiPFJetAve260_v13, HLT_DiPFJetAve260_v,  JME SMP , 14, 720.72
HLT_CaloMET100_NotCleaned_v4, HLT_CaloMET100_NotCleaned_v,  JME , 14, 720.72
HLT_CaloMET90_HBHECleaned_v4, HLT_CaloMET90_HBHECleaned_v,  JME , 14, 720.72
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_v5, HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_v,  EXO , 14, 720.72
HLT_Mu8_v11, HLT_Mu8_v,  MUO SUS , 13, 669.24
HLT_Mu8_TrkIsoVVL_v11, HLT_Mu8_TrkIsoVVL_v,  MUO SUS SMP , 13, 669.24
HLT_AK8PFJet320_v15, HLT_AK8PFJet320_v,  SMP , 12, 617.76
HLT_L1SingleMu18_v3, HLT_L1SingleMu18_v,  MUO , 10, 514.8
HLT_CaloMET100_HBHECleaned_v4, HLT_CaloMET100_HBHECleaned_v,  JME , 10, 514.8
