,  JetHTMHTBTagCSV,  MuOnia,  EG,  MuonEG,  DoubleMuon,  Charmonium,  DoubleMuonLowMass,  SingleMuon,  NoBPTX,  MET,  BTagMu,  DisplacedJet,  HLTPhysics,  EphemeralHLTPhysics1,  EphemeralHLTPhysics2,  EphemeralHLTPhysics3,  EphemeralHLTPhysics4,  EphemeralHLTPhysics5,  EphemeralHLTPhysics6,  EphemeralHLTPhysics7,  EphemeralHLTPhysics8,  ZeroBias,  EphemeralZeroBias1,  EphemeralZeroBias2,  EphemeralZeroBias3,  EphemeralZeroBias4,  EphemeralZeroBias5,  EphemeralZeroBias6,  EphemeralZeroBias7,  EphemeralZeroBias8,  ParkingHT,  ParkingMuon,  ScoutingCaloMuon,  AlCaPhiSym,  Commissioning,  HcalNZS,  IsolatedBunch,  RPCMonitor,  AlCaLumiPixels,  AlCaP0,  Tau
EphemeralHLTPhysics3, 154.44, 9.01, 111.11, 4.72, 9.01, 36.47, 4.29, 607.89, 17.59, 63.06, 1.29, 30.03, 44.19, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 432.43, 1040.33, 172.03, 142.86, 1.72, 0.43, 0.0, 291.72, 101.67, 475.76, 3.0
EphemeralHLTPhysics1, 154.44, 9.01, 111.11, 4.72, 9.01, 36.47, 4.29, 607.89, 17.59, 63.06, 1.29, 30.03, 44.19, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 4297.3, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 432.43, 1040.33, 172.03, 142.86, 1.72, 0.43, 0.0, 291.72, 101.67, 475.76, 3.0
RPCMonitor, 2.57, 0.0, 0.0, 0.86, 5.58, 0.43, 0.43, 277.13, 1.29, 0.43, 0.0, 0.43, 2.57, 291.72, 291.72, 291.72, 291.72, 291.72, 291.72, 291.72, 291.72, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.72, 277.13, 3.86, 0.0, 0.0, 0.43, 0.0, 291.72, 0.0, 3.43, 0.0
HcalNZS, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.43, 0.0, 0.43, 0.0, 0.0, 0.0
BTagMu, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29, 0.0, 0.0, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 1.29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
MuonEG, 0.43, 0.0, 1.29, 4.72, 0.86, 0.86, 0.43, 1.29, 0.0, 0.0, 0.0, 0.43, 0.0, 4.72, 4.72, 4.72, 4.72, 4.72, 4.72, 4.72, 4.72, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 1.72, 0.43, 0.0, 0.0, 0.0, 0.0, 0.86, 0.0, 0.86, 0.0
EphemeralZeroBias3, 46.76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 0.0, 0.0, 101.67, 0.0, 0.0, 0.0, 0.0, 101.67, 0.0, 0.0
HLTPhysics, 1.72, 0.0, 0.43, 0.0, 0.43, 0.0, 0.0, 6.01, 0.0, 0.43, 0.0, 0.43, 44.19, 44.19, 44.19, 44.19, 44.19, 44.19, 44.19, 44.19, 44.19, 0.86, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 0.43, 3.0, 11.15, 2.15, 0.86, 0.0, 0.0, 0.0, 2.57, 0.43, 5.58, 0.0
EG, 6.86, 0.0, 111.11, 1.29, 0.0, 0.0, 0.0, 0.43, 0.0, 1.29, 0.0, 2.15, 0.43, 111.11, 111.11, 111.11, 111.11, 111.11, 111.11, 111.11, 111.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.3, 0.0, 6.86, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 43.33, 0.0
DoubleMuonLowMass, 0.0, 0.0, 0.0, 0.43, 0.0, 3.0, 4.29, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 4.29, 4.29, 4.29, 4.29, 4.29, 4.29, 4.29, 4.29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.86, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0
SingleMuon, 2.15, 0.0, 0.43, 1.29, 4.72, 0.86, 0.43, 607.89, 1.29, 0.43, 0.0, 0.86, 6.01, 607.89, 607.89, 607.89, 607.89, 607.89, 607.89, 607.89, 607.89, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.72, 607.04, 3.43, 0.0, 0.0, 0.43, 0.0, 277.13, 0.0, 3.0, 0.0
DisplacedJet, 30.03, 0.0, 2.15, 0.43, 0.0, 0.0, 0.0, 0.86, 0.0, 3.43, 0.0, 30.03, 0.43, 30.03, 30.03, 30.03, 30.03, 30.03, 30.03, 30.03, 30.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.03, 0.43, 30.03, 0.0, 0.43, 0.0, 0.0, 0.43, 0.0, 17.59, 0.86
ZeroBias, 46.76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.86, 144.57, 144.57, 144.57, 144.57, 144.57, 144.57, 144.57, 144.57, 144.57, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 0.0, 0.0, 142.86, 0.0, 0.0, 0.0, 0.0, 101.67, 3.0, 0.0
EphemeralZeroBias6, 46.76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 0.0, 0.0, 101.67, 0.0, 0.0, 0.0, 0.0, 101.67, 0.0, 0.0
ScoutingCaloMuon, 94.38, 0.0, 6.86, 0.43, 0.0, 0.0, 0.0, 3.43, 0.0, 6.44, 0.0, 30.03, 2.15, 172.03, 172.03, 172.03, 172.03, 172.03, 172.03, 172.03, 172.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 172.03, 3.86, 172.03, 0.0, 1.29, 0.0, 0.0, 3.86, 0.0, 70.36, 0.86
AlCaPhiSym, 46.76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.86, 142.86, 142.86, 142.86, 142.86, 142.86, 142.86, 142.86, 142.86, 142.86, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 0.0, 0.0, 142.86, 0.0, 0.0, 0.0, 0.0, 101.67, 3.0, 0.0
EphemeralZeroBias2, 46.76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 101.67, 0.0, 0.0, 101.67, 0.0, 0.0, 0.0, 0.0, 101.67, 0.0, 0.0
Tau, 0.86, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.86, 0.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29, 0.0, 0.86, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 3.0
