Path, Groups, Counts, Rates (Hz)
HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_CrossL1_v12, TAU HIG SUS EXO , 0, 0
HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_CrossL1_v12, TAU HIG SUS EXO , 0, 0
HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_TightID_CrossL1_v12, TAU HIG SUS EXO , 0, 0
HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_TightID_CrossL1_v12, TAU HIG SUS EXO , 0, 0
HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_TightID_CrossL1_v12, TAU HIG SUS , 0, 0
HLT_DoubleMediumChargedIsoPFTau35_Trk1_eta2p1_Reg_v11, TAU , 5, 5
HLT_DoubleMediumChargedIsoPFTau40_Trk1_eta2p1_Reg_v11, TAU , 4, 4
HLT_DoubleTightChargedIsoPFTau35_Trk1_eta2p1_Reg_v11, TAU , 4, 4
HLT_DoubleTightChargedIsoPFTau40_Trk1_eta2p1_Reg_v11, TAU , 3, 3
HLT_DoubleMediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v11, TAU , 5, 5
HLT_DoubleMediumChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v11, TAU , 4, 4
HLT_DoubleTightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v11, TAU , 4, 4
HLT_DoubleTightChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v11, TAU , 3, 3
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_v11, TAU HIG EXO SUS , 0, 0
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET90_v11, TAU HIG EXO , 0, 0
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET100_v11, TAU HIG EXO , 0, 0
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET110_v7, TAU HIG EXO , 0, 0
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET120_v7, TAU HIG EXO , 0, 0
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET130_v7, TAU HIG EXO , 0, 0
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_v11, TAU HIG EXO , 0, 0
HLT_MediumChargedIsoPFTau180HighPtRelaxedIso_Trk50_eta2p1_1pr_v10, TAU HIG EXO , 0, 0
HLT_MediumChargedIsoPFTau180HighPtRelaxedIso_Trk50_eta2p1_v11, TAU HIG EXO , 2, 2
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v8, HIG SMP EXO , 1, 1
HLT_Rsq0p35_v14, SUS , 0, 0
HLT_Rsq0p40_v14, SUS , 0, 0
HLT_RsqMR300_Rsq0p09_MR200_v14, SUS , 0, 0
HLT_RsqMR320_Rsq0p09_MR200_v14, SUS , 0, 0
HLT_RsqMR300_Rsq0p09_MR200_4jet_v14, SUS , 0, 0
HLT_RsqMR320_Rsq0p09_MR200_4jet_v14, SUS , 0, 0
HLT_Photon50_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_PFMET50_v4, EXO , 1, 1
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v4, EXO , 1, 1
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ600DEta3_v4, EXO , 0, 0
HLT_PFMET100_PFMHT100_IDTight_PFHT60_v8, SUS HIG EXO B2G , 1, 1
HLT_PFMETNoMu100_PFMHTNoMu100_IDTight_PFHT60_v8, SUS HIG EXO B2G , 1, 1
HLT_PFMETTypeOne100_PFMHT100_IDTight_PFHT60_v8, SUS HIG EXO B2G , 4, 4
HLT_Mu18_Mu9_SameSign_v3, HIG , 2, 2
HLT_Mu18_Mu9_SameSign_DZ_v3, HIG , 1, 1
HLT_Mu18_Mu9_v3, HIG , 6, 6
HLT_Mu18_Mu9_DZ_v3, HIG , 5, 5
HLT_Mu20_Mu10_SameSign_v3, HIG , 1, 1
HLT_Mu20_Mu10_SameSign_DZ_v3, HIG , 1, 1
HLT_Mu20_Mu10_v3, HIG , 4, 4
HLT_Mu20_Mu10_DZ_v3, HIG , 4, 4
HLT_Mu23_Mu12_SameSign_v3, HIG , 0, 0
HLT_Mu23_Mu12_SameSign_DZ_v3, HIG , 0, 0
HLT_Mu23_Mu12_v3, HIG , 2, 2
HLT_Mu23_Mu12_DZ_v3, HIG , 2, 2
HLT_DoubleMu2_Jpsi_DoubleTkMu0_Phi_v4, BPH , 0, 0
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_v9, SUS , 0, 0
HLT_QuadPFJet98_83_71_15_v4, HIG , 51, 51
HLT_QuadPFJet103_88_75_15_v4, HIG , 36, 36
HLT_QuadPFJet105_88_76_15_v4, HIG , 57, 57
HLT_QuadPFJet111_90_80_15_v4, HIG , 45, 45
