Path, Groups, Counts, Rates (Hz)
HLT_Mu7p5_L2Mu2_Jpsi_v9, BPH , 0, 0
HLT_Mu7p5_L2Mu2_Upsilon_v9, BPH , 0, 0
HLT_Mu7p5_Track2_Jpsi_v10, BPH , 0, 0
HLT_Mu7p5_Track3p5_Jpsi_v10, BPH , 0, 0
HLT_Mu7p5_Track7_Jpsi_v10, BPH , 0, 0
HLT_Mu7p5_Track2_Upsilon_v10, BPH , 0, 0
HLT_Mu7p5_Track3p5_Upsilon_v10, BPH , 0, 0
HLT_Mu7p5_Track7_Upsilon_v10, BPH , 0, 0
HLT_DoublePhoton33_CaloIdL_v6, EXO SMP , 6, 6
HLT_DoublePhoton70_v6, EXO , 2, 2
HLT_DoublePhoton85_v14, EXO , 1, 1
HLT_Ele20_WPTight_Gsf_v5, SMP , 0, 0
HLT_Ele20_WPLoose_Gsf_v5, SMP , 0, 0
HLT_Ele20_eta2p1_WPLoose_Gsf_v5, SMP , 0, 0
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v4, EGM , 3, 3
HLT_Ele27_WPTight_Gsf_v15, EGM SUS SMP EXO TOP B2G , 47, 47
HLT_Ele32_WPTight_Gsf_v14, EGM , 30, 30
HLT_Ele35_WPTight_Gsf_v8, EGM SUS SMP EXO TOP B2G HIG , 24, 24
HLT_Ele35_WPTight_Gsf_L1EGMT_v4, ECAL , 22, 22
HLT_Ele38_WPTight_Gsf_v8, EGM SUS SMP EXO TOP B2G HIG , 18, 18
HLT_Ele40_WPTight_Gsf_v8, EGM SUS SMP EXO TOP HIG , 17, 17
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v8, EGM , 30, 30
HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu20_eta2p1_MediumChargedIsoPFTau27_eta2p1_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu20_eta2p1_TightChargedIsoPFTau27_eta2p1_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_TightID_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu20_eta2p1_MediumChargedIsoPFTau27_eta2p1_TightID_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu20_eta2p1_TightChargedIsoPFTau27_eta2p1_TightID_CrossL1_v11, TAU HIG SUS , 1, 1
HLT_IsoMu20_v14, ALCA SMP MUO , 1, 1
HLT_IsoMu24_v12, MUO SMP , 35, 35
HLT_IsoMu24_eta2p1_v14, MUO SUS SMP TOP , 34, 34
HLT_IsoMu27_v15, ALCA MUO SMP SUS HIG B2G TOP EXO , 32, 32
HLT_IsoMu30_v3, MUO , 28, 28
HLT_L1SingleMu18_v3, MUO , 10, 10
HLT_L1SingleMu25_v2, MUO , 1415, 1415
HLT_L2Mu10_v7, MUO , 901, 901
HLT_L2Mu50_v2, MUO , 73, 73
HLT_DoubleL2Mu50_v2, MUO , 0, 0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v13, MUO SUS SMP B2G TOP EXO , 6, 6
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v2, MUO SUS , 3, 3
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v14, ALCA MUO SUS SMP B2G TOP EXO , 5, 5
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v2, MUO SUS , 3, 3
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v4, MUO SUS SMP TOP EXO , 4, 4
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v2, MUO SUS , 3, 3
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v4, MUO SUS SMP TOP EXO , 5, 5
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v2, MUO SUS , 3, 3
HLT_Mu25_TkMu0_Onia_v7, BPH , 0, 0
HLT_Mu30_TkMu0_Onia_v7, BPH , 0, 0
HLT_Mu20_TkMu0_Phi_v7, BPH , 0, 0
HLT_Mu25_TkMu0_Phi_v7, BPH , 0, 0
HLT_Mu20_v11, SMP MUO , 3, 3
HLT_Mu27_v12, SMP MUO , 59, 59
HLT_Mu50_v12, SMP MUO B2G EXO , 5, 5
HLT_Mu55_v2, MUO , 4, 4
HLT_OldMu100_v3, MUO , 0, 0
HLT_TkMu100_v2, MUO , 1, 1
HLT_DiPFJetAve40_v13, JME SMP , 2, 2
HLT_DiPFJetAve60_v13, JME SMP , 0, 0
HLT_DiPFJetAve80_v12, JME SMP , 0, 0
HLT_DiPFJetAve140_v12, JME SMP , 0, 0
HLT_DiPFJetAve200_v12, JME SMP , 0, 0
HLT_DiPFJetAve260_v13, JME SMP , 14, 14
HLT_DiPFJetAve320_v13, JME SMP , 5, 5
HLT_DiPFJetAve400_v13, JME SMP , 1, 1
HLT_DiPFJetAve500_v13, JME SMP , 0, 0
HLT_DiPFJetAve60_HFJEC_v14, JME SMP , 0, 0
HLT_DiPFJetAve80_HFJEC_v14, JME SMP , 0, 0
HLT_DiPFJetAve100_HFJEC_v14, JME SMP , 0, 0
HLT_DiPFJetAve160_HFJEC_v14, JME SMP , 0, 0
HLT_DiPFJetAve220_HFJEC_v15, JME SMP , 0, 0
