Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
HLT_ZeroBias_part6_v6, HLT_ZeroBias_part6_v,  TSG ,  control , 0, 0.0, 0, 0.0
HLT_ZeroBias_part4_v6, HLT_ZeroBias_part4_v,  TSG ,  control , 0, 0.0, 0, 0.0
HLT_DiPFJetAve25_HFJEC_v17, HLT_DiPFJetAve25_HFJEC_v,  ,  , 0, 0.0, 0, 0.0
HLT_AK4CaloJet30_v11, HLT_AK4CaloJet30_v,  ,  , 0, 0.0, 0, 0.0
HLT_TrkMu16NoFiltersNoVtx_v1, HLT_TrkMu16NoFiltersNoVtx_v,  ,  , 0, 0.0, 0, 0.0
HLT_HT450_Beamspot_v11, HLT_HT450_Beamspot_v,  ,  , 0, 0.0, 0, 0.0
HLT_AK4PFJet100_v19, HLT_AK4PFJet100_v,  ,  , 0, 0.0, 0, 0.0
HLT_L1NotBptxOR_v3, HLT_L1NotBptxOR_v,  ,  , 0, 0.0, 0, 0.0
HLT_Physics_part6_v7, HLT_Physics_part6_v,  TSG ,  control , 0, 0.0, 0, 0.0
HLT_AK4PFJet80_v19, HLT_AK4PFJet80_v,  ,  , 0, 0.0, 0, 0.0
HLT_Physics_part7_v7, HLT_Physics_part7_v,  TSG ,  control , 0, 0.0, 0, 0.0
HLT_AK4PFJet30_v19, HLT_AK4PFJet30_v,  ,  , 0, 0.0, 0, 0.0
HLT_IsoMu27_MediumChargedIsoPFTauHPS20_Trk1_eta2p1_SingleL1_v1, HLT_IsoMu27_MediumChargedIsoPFTauHPS20_Trk1_eta2p1_SingleL1_v,  ,  , 0, 0.0, 0, 0.0
HLT_Physics_part3_v7, HLT_Physics_part3_v,  TSG ,  control , 0, 0.0, 0, 0.0
HLT_AK4CaloJet100_v10, HLT_AK4CaloJet100_v,  ,  , 0, 0.0, 0, 0.0
HLT_AK4CaloJet40_v10, HLT_AK4CaloJet40_v,  ,  , 0, 0.0, 0, 0.0
HLT_L1UnpairedBunchBptxMinus_v2, HLT_L1UnpairedBunchBptxMinus_v,  ,  , 0, 0.0, 0, 0.0
HLT_Physics_part2_v7, HLT_Physics_part2_v,  TSG ,  control , 0, 0.0, 0, 0.0
HLT_EcalCalibration_v4, HLT_EcalCalibration_v,  ,  , 0, 0.0, 0, 0.0
HLT_L1UnpairedBunchBptxPlus_v2, HLT_L1UnpairedBunchBptxPlus_v,  ,  , 0, 0.0, 0, 0.0
HLT_ZeroBias_part1_v6, HLT_ZeroBias_part1_v,  TSG ,  control , 0, 0.0, 0, 0.0
