Path, Groups, Counts, Rates (Hz)
HLT_Mu12_v2, , 0, 0
HLT_Mu15_v2, , 0, 0
HLT_DiPFJetAve15_HFJEC_v16, , 146, 146
HLT_DiPFJetAve25_HFJEC_v16, , 15, 15
HLT_AK8PFJet15_v2, , 109, 109
HLT_AK8PFJet25_v2, , 235, 235
HLT_PFJet15_v2, , 230, 230
HLT_PFJet25_v2, , 88, 88
HLT_PFJetFwd15_v2, , 221, 221
HLT_PFJetFwd25_v2, , 61, 61
HLT_AK8PFJetFwd15_v2, , 237, 237
HLT_AK8PFJetFwd25_v2, , 229, 229
HLT_PFMET100_PFMHT100_IDTight_CaloBTagDeepCSV_3p1_v7, , 1, 1
HLT_PFMET110_PFMHT110_IDTight_CaloBTagDeepCSV_3p1_v7, , 1, 1
HLT_PFMET120_PFMHT120_IDTight_CaloBTagDeepCSV_3p1_v7, , 1, 1
HLT_PFMET130_PFMHT130_IDTight_CaloBTagDeepCSV_3p1_v7, , 0, 0
HLT_PFMET140_PFMHT140_IDTight_CaloBTagDeepCSV_3p1_v7, , 0, 0
HLT_Mu12_DoublePFJets40_CaloBTagDeepCSV_p71_v1, , 0, 0
HLT_Mu12_DoublePFJets100_CaloBTagDeepCSV_p71_v1, , 0, 0
HLT_Mu12_DoublePFJets200_CaloBTagDeepCSV_p71_v1, , 0, 0
HLT_Mu12_DoublePFJets350_CaloBTagDeepCSV_p71_v1, , 0, 0
HLT_Mu12_DoublePFJets40MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v1, , 0, 0
HLT_Mu12_DoublePFJets54MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v1, , 0, 0
HLT_Mu12_DoublePFJets62MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v1, , 0, 0
HLT_DoublePFJets40_CaloBTagDeepCSV_p71_v1, , 0, 0
HLT_DoublePFJets100_CaloBTagDeepCSV_p71_v1, , 0, 0
HLT_DoublePFJets200_CaloBTagDeepCSV_p71_v1, , 0, 0
HLT_DoublePFJets350_CaloBTagDeepCSV_p71_v1, , 0, 0
HLT_DoublePFJets116MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v1, , 1, 1
HLT_DoublePFJets128MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v1, , 0, 0
HLT_BTagMu_AK8Jet170_DoubleMu5_v1, , 0, 0
HLT_Ele15_Ele8_CaloIdL_TrackIdL_IsoVL_v2, , 0, 0
HLT_Photon20_v2, , 5, 5
HLT_Photon100EB_TightID_TightIso_v1, , 1, 1
HLT_Photon110EB_TightID_TightIso_v1, , 0, 0
HLT_Photon120EB_TightID_TightIso_v1, , 0, 0
HLT_Photon100EBHE10_v1, , 3, 3
HLT_Photon100EEHE10_v1, , 7, 7
HLT_Photon100EE_TightID_TightIso_v1, , 0, 0
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_CaloMJJ300_PFJetsMJJ400DEta3_v4, , 1, 1
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_CaloMJJ400_PFJetsMJJ600DEta3_v4, , 0, 0
HLT_Photon90_CaloIdL_PFHT700_v15, , 0, 0
HLT_TripleMu_5_3_3_Mass3p8_DZ_v7, , 0, 0
HLT_Mu38NoFiltersNoVtxDisplaced_Photon38_CaloIdL_v1, , 0, 0
HLT_Mu43NoFiltersNoVtxDisplaced_Photon43_CaloIdL_v1, , 0, 0
HLT_DoubleMu33NoFiltersNoVtxDisplaced_v1, , 0, 0
HLT_DoubleMu40NoFiltersNoVtxDisplaced_v1, , 0, 0
HLT_HT500_DisplacedDijet40_DisplacedTrack_v12, , 0, 0
HLT_VBF_DoubleLooseChargedIsoPFTau20_Trk1_eta2p1_v2, , 0, 0
HLT_VBF_DoubleMediumChargedIsoPFTau20_Trk1_eta2p1_v2, , 0, 0
HLT_VBF_DoubleTightChargedIsoPFTau20_Trk1_eta2p1_v2, , 0, 0
HLT_Ele15_IsoVVVL_PFHT450_CaloBTagDeepCSV_4p5_v7, , 2, 2
HLT_Mu4_TrkIsoVVL_DiPFJet90_40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v13, , 1, 1
HLT_Mu15_IsoVVVL_PFHT450_CaloBTagDeepCSV_4p5_v7, , 0, 0
HLT_Mu3er1p5_PFJet100er2p5_PFMET70_PFMHT70_IDTight_v1, , 1, 1
HLT_Mu3er1p5_PFJet100er2p5_PFMET80_PFMHT80_IDTight_v1, , 1, 1
HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight_v1, , 1, 1
HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight_v1, , 0, 0
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu70_PFMHTNoMu70_IDTight_v1, , 2, 2
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu80_PFMHTNoMu80_IDTight_v1, , 1, 1
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu90_PFMHTNoMu90_IDTight_v1, , 1, 1
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight_v1, , 0, 0
HLT_Dimuon12_Upsilon_y1p4_v1, , 0, 0
HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8_v15, , 1, 1
HLT_DoubleIsoMu20_eta2p1_v6, , 2, 2
HLT_Ele15_CaloIdL_TrackIdL_IsoVL_PFJet30_v2, , 0, 0
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepCSV_4p5_v2, , 4, 4
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_v8, , 54, 54
HLT_PFHT430_SixPFJet40_PFBTagDeepCSV_1p5_v7, , 0, 0
HLT_Physics_v7, TSG , 103, 103
HLT_Physics_part0_v7, TSG , 10017, 10017
HLT_Physics_part1_v7, TSG , 10017, 10017
HLT_Physics_part2_v7, TSG , 10017, 10017
